2023-12-08 11:32:43.858+0000 INFO  Logging config in use: Embedded default config 'default-user-logs.xml'
2023-12-08 11:32:43.861+0000 INFO  Starting...
2023-12-08 11:32:44.290+0000 INFO  This instance is ServerId{cd98db23} (cd98db23-5adf-48b3-b243-25214eb3a502)
2023-12-08 11:32:44.594+0000 INFO  ======== Neo4j 5.13.0 ========
2023-12-08 11:32:44.647+0000 INFO  Progress tracking: enabled
2023-12-08 11:32:44.648+0000 INFO  Memory usage guard: minimum estimate
2023-12-08 11:32:44.653+0000 INFO  GDS license file: null
2023-12-08 11:32:44.654+0000 INFO  GDS license state: unlicensed
2023-12-08 11:32:44.655+0000 INFO  Arrow write back: disabled
2023-12-08 11:32:44.657+0000 INFO  Register GraphDataScience...
2023-12-08 11:32:44.679+0000 INFO  GraphDataScience registered.
2023-12-08 11:32:44.680+0000 INFO  Register GraphDataScienceExtras...
2023-12-08 11:32:44.681+0000 INFO  GraphDataScienceExtras registered.
2023-12-08 11:32:44.682+0000 INFO  Register MetricsFacade...
2023-12-08 11:32:44.682+0000 INFO  MetricsFacade registered.
2023-12-08 11:32:44.683+0000 INFO  Register legacy Task Store/ Registry...
2023-12-08 11:32:44.684+0000 INFO  Task Store/ Registry registered.
2023-12-08 11:32:44.685+0000 INFO  Register legacy User Log Registry...
2023-12-08 11:32:44.686+0000 INFO  User Log Registry registered.
2023-12-08 11:32:44.800+0000 INFO  GDS compatibility: for Neo4j Settings 5.x -- available, for Neo4j Settings 4.4 -- not available, selected: Neo4j Settings 5.x
2023-12-08 11:32:44.801+0000 INFO  GDS compatibility: for Neo4j 4.4 -- not available, for Neo4j 5.6 -- not available, for Neo4j 5.7 -- not available, for Neo4j 5.8 -- not available, for Neo4j 5.9 -- not available, for Neo4j 5.10 -- not available, for Neo4j 5.11 -- not available, for Neo4j 5.12 -- not available, for Neo4j 5.13 -- available, for Neo4j 5.14 -- not available, selected: Neo4j 5.13
2023-12-08 11:32:52.229+0000 INFO  Bolt enabled on 0.0.0.0:7687.
2023-12-08 11:32:52.615+0000 INFO  HTTP enabled on 0.0.0.0:7474.
2023-12-08 11:32:52.616+0000 INFO  Remote interface available at http://localhost:7474/
2023-12-08 11:32:52.619+0000 INFO  id: 7D4FFD549FD867306BD5665292492C8F4E674DD43637B66FF3832389C1AF3AA6
2023-12-08 11:32:52.619+0000 INFO  name: system
2023-12-08 11:32:52.620+0000 INFO  creationDate: 2023-12-08T11:13:37.095Z
2023-12-08 11:32:52.621+0000 INFO  Started.
2023-12-08 11:42:43.425+0000 INFO  Logging config in use: Embedded default config 'default-user-logs.xml'
2023-12-08 11:42:43.428+0000 WARN  Use of deprecated setting 'dbms.directories.run'. It is replaced by 'server.directories.run'.
2023-12-08 11:42:43.430+0000 INFO  Starting...
2023-12-08 11:42:43.884+0000 INFO  This instance is ServerId{cd98db23} (cd98db23-5adf-48b3-b243-25214eb3a502)
2023-12-08 11:42:44.235+0000 INFO  ======== Neo4j 5.13.0 ========
2023-12-08 11:42:45.248+0000 INFO  Bolt enabled on 0.0.0.0:7687.
2023-12-08 11:42:45.572+0000 INFO  HTTP enabled on 0.0.0.0:7474.
2023-12-08 11:42:45.573+0000 INFO  Remote interface available at http://localhost:7474/
